Name	RepresentID
嵩蛛	371
少室野猪	4
外来人	372
塔林盗墓贼	374
蒙面人	375
诡行盗墓贼	376
秘踪盗墓贼	376
道生	377
道相	378
舍利院弟子	377
罗汉堂弟子	378
达摩院弟子	379
禁地守卫	380
禁地巡逻守卫	380
呆头木人	381
挥掌木人	2776
凌厉木人	382
残破木人	382
山下家足轻	437
暗部下忍	447
暗部中忍	448
绯村流三段	438
田一郎	439
天竺僧	383
少壮天竺僧	384
无我护法	385
无相护法	385
智慧王	386
王婆婆	23
慧通	434
慧恒	434
慧明	434
张氏	30
陆旺生	388
陈江	389
陆林	421
秀秀	139
陈夫人	422
杨九江	423
澄悲	393
藤原	420
道显	452
道方	443
王二牛	136
吕蒙平	7104
杨伯	26
道印	2380
察贺巴	387
道弘	443
慧恩	434
澄理	393
道元	443
神策军信使	395
慧海	434
澄实	390
道木	450
慧林	419
伙房吃饭弟子	396
伙房吃饭弟子	397
伙房吃饭弟子	398
道因	415
道果	416
慧松	419
成伯	399
巡逻寺僧	380
杨道龄	400
张凯旋	424
澄如	393
道衍	402
吴东诚	401
澄正	391
澄信	390
澄通	393
道光	1380
慧觉	419
道虚	1380
慧刚	403
慧难	436
慧心	403
慧丰	419
慧凡	403
慧弘	419
道量	1380
道无	1379
慧忍	451
玄乘	392
刘军行	24
海姑	425
江明枫	1094
曲星	1411
澄智	449
鸡	404
鸡	128
猴子	406
一刀流守卫	407
受伤的少林弟子	2333
受伤的少林弟子	2334
中毒的少林弟子	409
画像先生	412
卢义隽	413
柳余恨	140
证道院弟子	415
证道院弟子	416
罗汉堂弟子甲	417
罗汉堂弟子乙	418
道丰	450
慧量	434
慧衡	434
道缘	2380
道醒	452
方士光	18
桂英	32
生病的人	426
王大力	373
慧景	427
路人	428
路人	143
少林弟子	443
少林弟子	1380
道宝	2380
洛阳少林弟子	419
游客	413
游客	140
游客	414
道玉	430
木桩训练表演和尚	431
负重训练表演和尚	432
体操训练表演和尚	433
慧慈	434
慧定	435
澄如	393
玄钟	394
智慧王	386
无我护法	385
无相护法	385
天竺僧	383
天竺僧	383
伙房吃饭弟子	396
伙房吃饭弟子	397
菠菜	441
澄隐	393
慧远	403
慧峰	403
慧武	453
证道院听禅弟子	1409
功德箱	1442
宝莲灯	445
澄净	449
练武僧	450
练武僧	121
肖游泰	455
童铁鑫	457
成光甫	458
少林护寺僧	380
少林巡寺僧	380
幽梦随	267
王银	276
诸葛朔望	278
金牙苏	546
银牙炳	16
道远	408
知客僧	443
小猴子	406
李思泉	1263
慧言	1264
慧虚	1265
慧信	1266
慧威	1304
刘舜	1310
游击营枪兵	1541
游击营枪兵	1343
游击营民夫	1325
游击营民夫	1542
游击营火长	1543
少林护卫武僧	1694
慧昆	1733
道亘	1734
道广	1735
慧让	427
狗蛋儿	1736
大春	42
高赞	1737
高嘉	1738
道岚	1739
道廿	1740
李名宇	1741
宋惠珠	1742
堀北小次郎	1743
马兹达	1744
小马哥	1745
澄广	1714
林鑫源	1715
钟广财	1716
朱娉婷	1717
刘嫂	1721
陆小妹	1722
张小宝	1723
道信	1724
道定	1725
道应	1726
岳子良	1727
阳宝哥	1728
阿诛	2822
柳敬轩	1730
张中	1731
九伯	1732
九伯	143
小白	1695
洪田青	1696
苏大娘	1697
逝如风	1698
冯氏	1699
冯广克	1700
唐潇水	1701
逸流天	1702
盖范英	1703
少林守寺僧	1704
道仁	1705
武僧教头	1706
道静	1775
道通	1707
慧永	1708
清静	1709
野兔	1710
道夕	1711
道悦	1712
道合	1711
道化	1712
道白	1713
木桩	1795
御名方	1719
邱百川	1718
慧玉	1720
游击营射手	1766
游击营射手	1344
渡法	508
娑摩静	385
饥饿的天竺僧	1772
残暴的天竺僧	1773
天竺迦兰僧	1774
玄字三九	1852
慕容徒	1851
慧玄	403
慧真	403
黄牛	1854
家猪	1855
家猪	2719
道川	1865
獐	2516
一朵云	1868
风不归	1869
刘三斗	1697
苏二娘	1697
道苦	402
慧悟	434
商会的马匹	2155
道觉	415
道正	443
香客	2230
碑林游客	413
碑林游客	140
香客	596
慧休	419
休息的少林弟子	2333
休息的少林弟子	2334
游客	413
游客	2431
狐狸	2511
山下智久	614
绯村剑心	686
道休	2380
慧毅	2757
清远	2780
训练木桩	1795
木甲人	2811
山下家足轻的遗体	2829
小薰	2830
无良子	2838
道悟	2380
藏经阁抄书弟子	5176
藏经阁抄书弟子	5175
道鸿	1380
道衍	3585
道天常	1380
芋头	402
大壮	1505
嵩山野猪	7431
道决	26761
道允	26762
幼龟	26763
马夫	26764
道驰	26765
慧武	26766
一刀流上忍	26767
道风	26768
灶台标记	26769
慧训	26770
少林弟子	38470
少林初级弟子	40889
训练木桩	40892
慧世	427
慧理	427
慧令	427
慧千	427
慧齐	427
道真	1775
道鸣	40902
